toolname,question_id,accepted_answer_id,answer_count,creation_date,is_answered,last_activity_date,last_edit_date,owner_id,owner_reputation,score,view_count,title,sentence
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Is it ok to deploy Performance Monitoring Tool - AppDynamics - in Production?
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,The application to be monitored is a standard Java/J2EE Web Application.
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,"I have never worked with AppDynamics, and my concern is that it may actually slow down my application."
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Has anyone used AppDynamics in Production?
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Or should it be used only in Test kind of enivornments.
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,How do you build a AppDynamic or New Relic kind of system that collects performance metrics of your application including detailed call tree stats by merely installing a software on the servers where your application runs?
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,Is it even possible to collect such metrics without compiling your apps with debug information?
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,What are the performance trade offs to consider when building such a service?
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,How do such software minimize the performance impact they themselves might be having on the application.
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",nan,2281821.0,721.0,3,2289,Appdynamics implementation,"I'm trying to add Appdynamics into my application, I'm doing those steps:  https://docs.appdynamics.com/display/PRO40/Instrument+an+Android+Application#InstrumentanAndroidApplication-ToaddtheAppDynamicsAndroidagentrepositorytoyourproject  but after all I have error:"
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",nan,2281821.0,721.0,3,2289,Appdynamics implementation,This is how my build.gradle (for all project) looks like:
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",nan,2281821.0,721.0,3,2289,Appdynamics implementation,and build.gradle (from app module):
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",nan,2281821.0,721.0,3,2289,Appdynamics implementation,and  adeum-maven-repo  paste into project.
