toolname,question_id,accepted_answer_id,answer_count,creation_date,is_answered,last_activity_date,last_edit_date,owner_id,owner_reputation,score,view_count,title,sentence,neg,pos,neu,com
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Is it ok to deploy Performance Monitoring Tool - AppDynamics - in Production?,0.0,0.18,0.82,0.296
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,The application to be monitored is a standard Java/J2EE Web Application.,0.0,0.0,1.0,0.0
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,"I have never worked with AppDynamics, and my concern is that it may actually slow down my application.",0.0,0.0,1.0,0.0
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Has anyone used AppDynamics in Production?,0.0,0.0,1.0,0.0
AppDynamics,13524580,13570380.0,5,"2012/11/23, 09:15:18",True,"2013/10/22, 16:10:28","2012/11/23, 09:31:33",974169.0,7456.0,6,7790,Will AppDynamics (Performance Monitoring Tool) slow down my Production Application?,Or should it be used only in Test kind of enivornments.,0.0,0.0,1.0,0.0
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,How do you build a AppDynamic or New Relic kind of system that collects performance metrics of your application including detailed call tree stats by merely installing a software on the servers where your application runs?,0.0,0.0,1.0,0.0
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,Is it even possible to collect such metrics without compiling your apps with debug information?,0.0,0.0,1.0,0.0
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,What are the performance trade offs to consider when building such a service?,0.0,0.0,1.0,0.0
AppDynamics,17412297,17416710.0,2,"2013/07/01, 22:35:38",True,"2013/07/02, 08:52:04","2013/07/02, 00:11:12",463061.0,5807.0,4,3650,AppDynamics or NewRelic kind of system - how does it work?,How do such software minimize the performance impact they themselves might be having on the application.,0.0,0.0,1.0,0.0
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",,2281821.0,721.0,3,2289,Appdynamics implementation,"I'm trying to add Appdynamics into my application, I'm doing those steps:  https://docs.appdynamics.com/display/PRO40/Instrument+an+Android+Application#InstrumentanAndroidApplication-ToaddtheAppDynamicsAndroidagentrepositorytoyourproject  but after all I have error:",0.173,0.0,0.827,-0.5499
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",,2281821.0,721.0,3,2289,Appdynamics implementation,This is how my build.gradle (for all project) looks like:,0.0,0.217,0.783,0.3612
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",,2281821.0,721.0,3,2289,Appdynamics implementation,and build.gradle (from app module):,0.0,0.0,1.0,0.0
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",,2281821.0,721.0,3,2289,Appdynamics implementation,and  adeum-maven-repo  paste into project.,0.0,0.0,1.0,0.0
AppDynamics,31001196,31063347.0,1,"2015/06/23, 14:10:42",True,"2015/06/26, 04:13:54",,2281821.0,721.0,3,2289,Appdynamics implementation,Any idea what am I doing wrong?,0.383,0.0,0.617,-0.4767
AppDynamics,56138542,,1,"2019/05/15, 00:01:10",False,"2019/11/11, 14:45:04","2019/05/15, 07:57:45",11500656.0,41.0,3,384,Appdynamics problems to install in jboss app server,"I followed the instructions on the website of appdynamic, but when I was following this step:",0.0,0.0,1.0,0.0
AppDynamics,56138542,,1,"2019/05/15, 00:01:10",False,"2019/11/11, 14:45:04","2019/05/15, 07:57:45",11500656.0,41.0,3,384,Appdynamics problems to install in jboss app server,When I ran standalone.bat this error appears:,0.385,0.0,0.615,-0.481
AppDynamics,16161856,,2,"2013/04/23, 08:46:12",True,"2013/08/21, 05:35:52",,2113898.0,175.0,2,2009,Problems installing appdynamics,I have installed Appdynamics lite on my server and it worked fine when I used to run my tomcat instance with root user.,0.0,0.083,0.917,0.2023
AppDynamics,16161856,,2,"2013/04/23, 08:46:12",True,"2013/08/21, 05:35:52",,2113898.0,175.0,2,2009,Problems installing appdynamics,"But from the time I have created a new user ""Tomcat"" and start executing my apache tomcat with this user, I am not able to run appdynamics.",0.0,0.098,0.902,0.3612
AppDynamics,16161856,,2,"2013/04/23, 08:46:12",True,"2013/08/21, 05:35:52",,2113898.0,175.0,2,2009,Problems installing appdynamics,"I have copied the javaagent at this location with all rights(read,write,execute) to tomcat ""/home/tomcat/profiler/AppServerLite"".",0.0,0.0,1.0,0.0
AppDynamics,16161856,,2,"2013/04/23, 08:46:12",True,"2013/08/21, 05:35:52",,2113898.0,175.0,2,2009,Problems installing appdynamics,It throws an exception as follows :,0.0,0.0,1.0,0.0
