toolname,answer_id,question_id,comment_count,creation_date,is_accepted,last_activity_date,owner_reputation,owner_id,score,sentence
AppDynamics,13532221,13524580,1,"2012/11/23, 17:48:01",False,"2012/11/23, 17:48:01",17.0,1847969.0,0,"I suggest to look into Gartners magic quadrant and get dynaTrace since it has negligible overhead , less than 1% in production under load."
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,Full Disclosure: I currently work for AppDynamics.
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,AppDynamics was designed from the ground up for high volume production environments but works equally well in both prod and non-prod.
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,"It's currently running in production in some of the worlds largest mission critical application environments at Netflix, Exact Target, Edmunds, and many others."
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,Here are a few quotes from existing customers…
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,"""It's like a profiler that you can run in production"" -- Leonid Igolnik, Taleo"
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,"""We found that the overhead was negligible"" -- Jacob Marcus, Care.com"
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,"""We wanted a monitoring solution that wouldn't impact our production runway"" -- John Martin, Edmunds"
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,AppDynamics overhead is extremely low but I suggest you test it and see for yourself.
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,You can download and use it for free from the AppDynamics website.
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74.0,1854219.0,5,Good luck in your search for the right APM tool.
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207.0,153728.0,1,Yes it will if the application is sensitive to extra GC cycles caused by call stack sampling.
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207.0,153728.0,1,The impact will depend on the number of threads and typical call stack depth.
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207.0,153728.0,1,"This is not specific to AppDynamics, other call stack sampling solutions such as NewRelic and VisualVM Sampler will have a similar impact."
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207.0,153728.0,1,http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_Good_APM_vs_AppDynamics_Bad_APM.pdf
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207.0,153728.0,1,http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_vs_AppDynamics.pdf
AppDynamics,13820531,13524580,0,"2012/12/11, 14:32:58",False,"2012/12/11, 14:32:58",207.0,153728.0,4,There are a number of assumptions made by a vendor but the following are most common:
AppDynamics,13820531,13524580,0,"2012/12/11, 14:32:58",False,"2012/12/11, 14:32:58",207.0,153728.0,4,TRANSLATION: We assume you have a slow performing database backend.
